movie_id,country_id
3112654,0
1571222,1
1571222,2
1571222,3
1571222,4
2756032,5
2370248,5
57171,6
57171,0
1433540,7
1433540,8
1433540,0
1433811,5
1608368,5
1220634,2
1220634,0
1220634,5
1220634,3
858479,5
112573,5
834001,5
834001,9
1662293,5
2640474,10
1188113,5
56993,5
338564,11
1649444,12
63442,5
89670,5
101765,0
101765,13
101765,14
4065308,6
871510,15
101761,5
2310332,9
2310332,5
69400,0
69400,6
133189,5
1045772,0
1045772,5
481141,5
481141,16
486655,1
486655,5
486655,17
1645170,5
112883,5
110719,18
110719,0
378109,5
1928330,5
1074638,1
1074638,5
2532528,5
112792,5
1707386,5
1707386,1
2473794,1
2473794,0
2473794,2
196499,5
146984,5
115685,5
112401,0
112401,5
1282140,5
175880,5
108399,5
108399,0
2914892,2
43014,5
108394,0
108394,13
108394,4
2191701,5
1453405,5
60827,19
770703,5
477348,5
416960,20
1646980,5
2042568,5
2042568,1
2042568,0
756648,0
1790864,5
61512,5
108550,5
247199,5
365748,1
365748,0
87803,1
2467046,5
2467046,3
91419,5
3196174,17
3196174,0
1528100,1
1528100,5
1528100,12
2752688,5
381061,1
381061,21
381061,5
381061,2
381061,22
455584,12
455584,1
758774,5
758774,1
129387,5
1959490,5
800027,5
80339,5
454876,5
454876,23
454876,1
974661,5
443489,5
30522,2
85780,5
85780,1
443680,5
443680,3
443680,1
110632,5
1945087,5
2511428,5
119194,5
94737,5
887883,5
887883,1
887883,0
1375666,5
1375666,1
114069,5
52357,5
56512,6
1872181,5
2637276,5
2332707,11
2332707,24
84237,5
84237,1
84237,25
84237,26
120663,1
120663,5
2402105,1
195714,5
195714,3
109040,5
1772424,0
1772424,27
1772424,28
1772424,6
3235888,5
120669,5
2450186,5
2450186,3
2450186,29
114168,5
416315,16
938330,0
938330,5
938330,3
1758795,5
2097298,5
186151,5
1430607,1
1430607,5
350258,5
361862,12
361862,5
77416,1
77416,5
1028528,5
3682448,5
3682448,15
3682448,2
2383068,5
2788228,7
120591,5
462499,5
462499,2
120598,3
120598,5
452594,5
51658,5
808510,5
808510,3
83658,5
83658,11
83658,1
3671074,15
3671074,3
1562872,15
120601,5
4156700,18
65063,5
2395199,5
2395199,3
1381404,5
1381404,3
54144,25
1661420,0
357413,5
1637725,5
3202890,24
3202890,30
3202890,5
2359002,31
3715320,5
70511,0
70511,5
451094,32
350720,33
1836212,5
4229236,5
221073,16
999913,5
1809398,5
102713,5
824316,15
44081,5
414951,5
1988781,5
1821694,5
1821694,0
1821694,3
1854564,5
211933,5
1360860,20
1360860,0
87843,6
87843,5
433387,5
1234548,5
1234548,1
2262227,5
113161,5
2846974,19
213149,5
3248600,5
372183,5
372183,2
2398249,5
762114,5
762114,16
2545118,5
1967545,5
104652,25
2094018,5
1596350,5
986263,5
437777,5
497986,25
497986,32
1323594,5
775529,5
1063669,2
75148,5
398017,5
398017,1
81562,5
66181,5
945513,5
945513,3
2059171,5
458525,5
458525,1
1735898,5
4142022,6
82495,5
1617661,5
1617661,16
97733,5
1905041,5
1440292,1
1440292,5
118929,16
118929,5
387564,5
387564,16
1858481,1
301976,5
332452,5
332452,34
332452,1
1170358,5
1170358,9
4044364,5
4044364,2
4044364,1
2420886,0
405325,5
389860,5
1409024,5
2347144,25
32138,5
1478338,5
367089,5
371772,25
371772,20
1838603,2
1838603,7
1838603,5
1838603,0
2279786,19
2279786,2
90555,16
1126590,5
1126590,3
120620,5
2382396,5
71807,1
71807,5
1522232,33
2378936,35
1603257,5
1603257,3
1210166,5
345551,5
2308860,32
209144,5
2215477,15
780622,5
2224317,15
1911553,0
1911553,12
113303,5
496806,5
86984,5
929632,5
997246,20
1226240,5
311113,5
1808454,13
120873,5
227445,5
227445,2
1413495,5
1413495,15
1413495,0
2088003,36
2088003,1
2088003,2
2347569,5
2347569,33
1179034,0
889588,16
889588,24
889588,2
889588,5
230838,5
1990314,5
1179031,5
1179031,0
114924,5
1220719,11
1220719,24
1190080,5
364517,0
364517,7
1441940,1
1297919,1
1297919,0
1297919,5
57012,5
57012,1
2576852,25
61747,5
1396226,6
1396226,12
1922777,5
1922777,1
2139555,5
217869,5
1726592,1
1726592,5
1726592,0
1726592,19
1032815,3
1032815,5
1991245,5
114814,5
114814,2
2937898,5
2937898,37
79817,5
183523,5
427969,5
2293138,0
208092,1
208092,5
1392214,5
1951266,5
1951266,2
986264,15
1951264,5
171408,38
74812,5
1951261,5
2172934,5
2172934,0
2520394,5
88683,5
1204340,1
489099,5
489099,3
896872,3
896872,2
119217,5
2436516,15
215750,5
215750,0
215750,2
215750,1
215750,39
1316624,3
1773764,15
1773764,31
1316622,5
1316622,3
1243974,5
137523,5
137523,2
2381249,5
448011,5
448011,1
448011,16
443274,5
55572,0
55572,6
84503,1
443272,5
443272,15
2294677,5
2556308,15
119038,0
1068680,5
1068680,16
233841,20
85794,5
3438640,5
70047,5
1726669,5
251075,5
456149,40
1300851,5
1300854,5
1300854,24
365485,5
365485,2
365485,39
1700845,1
65207,1
65207,5
330373,1
330373,5
77394,5
120885,5
144117,3
144117,5
3503840,40
3503840,5
361127,5
1375670,5
1650554,5
1650554,1
1650554,25
1559036,5
1092026,5
1092026,1
56566,5
52847,5
364045,5
364045,16
254686,41
254686,0
254686,2
44079,5
120616,5
369702,12
369702,0
369702,6
2141941,5
1135084,5
399201,5
74777,5
364970,0
444672,5
375679,2
375679,5
1555093,1
899106,5
899106,3
899106,1
1430612,0
1430612,3
327056,5
327056,16
3179568,5
1423995,5
910970,5
1028532,5
1028532,1
499335,20
2980592,5
2980592,1
2044729,5
1855199,5
104254,16
104254,5
2014248,5
337741,5
1424432,1
1424432,0
1424432,5
1424432,33
1568346,5
1568346,19
1568346,14
3029558,25
104466,5
336693,20
163978,5
163978,1
456912,32
988045,5
988045,2
2281267,5
1446192,5
470752,1
2215077,42
2215077,1
1402488,16
993846,5
993842,5
993842,1
993842,2
83791,5
83791,1
1506999,39
1506999,5
452694,5
95271,5
429493,5
421239,5
2082197,15
375611,15
872230,5
970179,5
1542344,5
1542344,1
1646987,5
1646987,12
81506,25
81506,5
89880,5
1129442,0
1129442,1
1129442,5
96256,5
1212450,5
990407,5
72308,5
1631867,5
1631867,3
462538,5
892769,5
2292959,5
1956620,5
841044,0
841044,2
1979319,25
810913,5
67116,5
472062,5
472062,2
1132195,1
1132195,16
335245,5
1560747,5
1060277,5
2692250,5
2692250,1
1490017,16
1490017,5
1490017,43
1714206,5
2645104,44
1714203,5
2561572,5
2388715,5
497465,12
497465,5
1714193,31
320661,5
320661,1
320661,12
320661,2
320661,45
167261,5
167261,9
167260,5
167260,9
348836,5
2582802,5
2323264,31
2920808,5
2203939,5
322802,5
1068641,5
1068641,46
2063781,5
277941,16
277941,1
277941,5
277941,0
258463,5
258463,2
258463,21
1566503,1
1566503,47
116126,5
472118,19
472118,5
469623,5
469623,1
469623,3
800080,5
1561768,13
1561768,14
1561768,39
1561768,48
1561768,0
2091473,5
2091473,37
3134066,49
1288558,5
120890,5
2509270,21
388980,5
388980,3
78718,5
263488,2
263488,5
56172,1
3310280,0
3310280,20
3310280,50
1183911,1
1183911,12
3263614,5
87544,25
1724962,25
128442,5
1247683,5
2557490,5
2273657,5
322330,5
385568,1
403702,5
113799,25
445990,5
414387,0
414387,1
414387,5
1641400,31
1189340,5
187393,5
187393,2
372884,5
1935065,16
46250,5
320244,5
320244,31
1119646,5
1119646,2
164052,5
164052,2
60665,1
2918436,5
90859,5
387131,1
387131,2
387131,5
387131,24
396269,5
1226236,6
1649419,12
1649419,5
1192628,5
245844,1
245844,5
245844,39
1951181,5
3168230,1
3168230,5
2866360,5
2866360,1
108002,5
390384,5
1588334,5
1645155,5
1645155,3
1645155,7
1645155,1
2409302,25
36775,5
1340138,5
1037705,5
2216240,43
2962726,1
364569,32
1477076,3
1477076,5
2304953,2
2304953,3
2304953,5
4284010,5
371746,5
1229822,1
1229822,5
1571249,5
431021,5
431021,3
2261331,1
2261331,5
2261331,18
62136,0
62136,6
1308729,5
325805,5
2131523,51
276919,43
276919,19
276919,1
276919,0
276919,2
276919,31
276919,14
276919,36
276919,6
3819668,25
1250777,1
1250777,5
