movie_id,genre_id
3112654,0
3112654,1
1571222,2
1571222,3
1571222,1
2756032,4
2756032,3
2756032,5
2370248,3
57171,4
57171,5
1433540,6
1433540,7
1433540,4
1433811,3
1433811,1
1608368,8
1608368,9
1608368,1
1220634,0
1220634,7
1220634,8
858479,4
858479,3
858479,5
112573,2
112573,3
112573,10
834001,0
834001,7
834001,11
1662293,8
2640474,3
2640474,8
2640474,9
1188113,3
1188113,1
56993,8
338564,12
338564,9
338564,1
1649444,8
1649444,5
63442,7
63442,13
89670,4
101765,3
101765,11
101765,14
4065308,4
871510,3
871510,15
871510,16
101761,2
101761,3
101761,14
2310332,7
2310332,11
69400,4
133189,4
133189,3
133189,14
1045772,2
1045772,4
1045772,12
481141,4
481141,3
481141,5
486655,7
486655,15
486655,11
1645170,4
112883,4
112883,3
112883,5
110719,4
110719,3
110719,11
378109,0
378109,7
378109,12
1928330,0
1928330,4
1928330,12
1074638,0
1074638,7
1074638,1
2532528,17
2532528,12
2532528,3
112792,2
112792,3
1707386,3
1707386,18
1707386,5
2473794,2
2473794,3
2473794,10
196499,17
146984,3
146984,11
146984,16
115685,4
112401,0
112401,12
112401,1
1282140,4
1282140,5
175880,3
108399,12
108399,3
108399,1
2914892,6
2914892,7
2914892,4
43014,3
43014,19
108394,3
108394,14
108394,9
2191701,4
1453405,6
1453405,7
1453405,4
60827,3
60827,1
770703,4
770703,5
477348,12
477348,3
477348,1
416960,4
416960,3
1646980,0
1646980,12
1646980,3
2042568,3
2042568,14
756648,7
756648,3
756648,15
1790864,0
1790864,9
1790864,13
61512,12
61512,3
108550,3
108550,5
247199,3
365748,4
365748,8
87803,3
87803,5
87803,13
2467046,0
2467046,13
2467046,1
91419,4
91419,8
91419,18
3196174,0
3196174,3
3196174,1
1528100,0
1528100,7
1528100,3
2752688,2
2752688,3
381061,0
381061,7
381061,1
455584,9
455584,13
455584,1
758774,0
758774,3
758774,1
129387,4
129387,5
1959490,0
1959490,7
1959490,3
800027,3
800027,5
80339,4
454876,7
454876,3
454876,11
974661,4
974661,3
974661,11
443489,3
443489,14
