genre_id,genre
0,Action
1,Thriller
2,Biography
3,Drama
4,Comedy
5,Romance
6,Animation
7,Adventure
8,Horror
9,Mystery
10,History
11,Fantasy
12,Crime
13,Sci-Fi
14,Music
15,Family
16,Sport
17,Documentary
18,Musical
19,Film-Noir
20,Short
21,War
22,Western
23,N/A
24,Game-Show
25,Reality-TV
